Item Code,Country Code,Item Name,Price Level,Selling Price,Qualifying Price,Taxable Price,Commission,Retails Commissions,Product Pack Bonus,Reail Value Volume,For Promotions
SHIPSOTG,USA,Shipping Stylin' On the Go Set (June),1,10,0,10,0,0,0,0,10
SHIPSOTG2,CAN,Shipping Stylin' On the Go Set (July),1,13,0,13,0,0,0,0,13
SHIPSOTG2,USA,Shipping Stylin' On the Go Set (July),1,10,0,10,0,0,0,0,10
SHIPTOSPA,CAN,Shipping for Tote and Hair Spa (July),1,10,0,10,0,0,0,0,10
SHIPTOSPA,USA,Shipping for Tote and Hair Spa (July),1,7,0,7,0,0,0,0,7
SHIPTOTE,CAN,Shipping for Tote Bag,1,10,0,10,0,0,0,0,10
SHIPTOTE,USA,Shipping for Tote Bag,1,7,0,7,0,0,0,0,7
SHIPTOTEUK,GBR,Shipping for Tote Bag (UK),1,3.95,0,3.29,0,0,0,0,3.95
SHIPTRICAS,CAN,Shipping for Trio of Cases,1,7,0,7,0,0,0,0,7
SHIPTRICAS,USA,Shipping for Trio of Cases,1,5,0,5,0,0,0,0,5
SHOWERCAP,CAN,Shower Cap,9,0,0,0,0,0,0,0,0
SHOWERCAP,USA,Shower Cap,9,0,0,0,0,0,0,0,0
SILKPILCSE,USA,Pillow Case,9,0,0,0,0,0,0,0,0
SIOBLO,GBR,Blow Out Cream - Style It Out,1,10,0,10,0,0,0,0,10
SIOBLO,GBR,Blow Out Cream - Style It Out,3,10,0,10,0,0,0,0,10
SIODRY,GBR,The Champ Dry Shampoo - Style It Out,1,10,0,10,0,0,0,0,10
SIODRY,GBR,The Champ Dry Shampoo - Style It Out,3,10,0,10,0,0,0,0,10
SIOHAI,GBR,ReFinish Control Hairspray - Style It Out,1,10,0,10,0,0,0,0,10
SIOHAI,GBR,ReFinish Control Hairspray - Style It Out,3,10,0,10,0,0,0,0,10
SIOROO,GBR,Reshape Root Lifter - Style It Out,1,10,0,10,0,0,0,0,10
SIOROO,GBR,Reshape Root Lifter - Style It Out,3,10,0,10,0,0,0,0,10
SKSMPLSV1,CAN,Starter Kit Sample Pack,9,0,0,0,0,0,0,0,0
SKSMPLSV1,USA,Starter Kit Sample Pack,9,0,0,0,0,0,0,0,0
SMARTSIN10,CAN,SMART Start Earnings Insert (10 Pack),1,0.75,0,0.75,0,0,0,0,0.75
SMARTSINU,CAN,SMART Start Earnings Insert (Unit),1,0,0,0,0,0,0,0,0
SMARTSINU,CAN,SMART Start Earnings Insert (Unit),9,0,0,0,0,0,0,0,0
SMARTSINU,USA,SMART Start Earnings Insert (Unit),1,0,0,0,0,0,0,0,0
SMARTSINU,USA,SMART Start Earnings Insert (Unit),9,0,0,0,0,0,0,0,0
SMODRY,CAN,Smoothing Shampoo + Dry Shampoo,1,25,20,25,0,0,0,0,25
SMODRY,CAN,Smoothing Shampoo + Dry Shampoo,2,"99,999.00",0,"99,999.00",0,0,0,0,"99,999.00"
SMODRY,CAN,Smoothing Shampoo + Dry Shampoo,3,25,20,25,0,0,0,0,25
SMODRY,USA,Smoothing Shampoo + Dry Shampoo,1,20,20,20,0,0,0,0,20
SMODRY,USA,Smoothing Shampoo + Dry Shampoo,2,"99,999.00",0,"99,999.00",0,0,0,0,"99,999.00"
SMODRY,USA,Smoothing Shampoo + Dry Shampoo,3,20,20,20,0,0,0,0,20
SMOIRS,CAN,Smoothing Shampoo + IR Shampoo,1,25,73,25,0,0,0,0,25
SMOIRS,CAN,Smoothing Shampoo + IR Shampoo,2,"99,999.00",0,"99,999.00",0,0,0,0,"99,999.00"
SMOIRS,CAN,Smoothing Shampoo + IR Shampoo,3,25,73,25,0,0,0,0,25
SMOIRS,USA,Smoothing Shampoo + IR Shampoo,1,20,73,20,0,0,0,0,20
SMOIRS,USA,Smoothing Shampoo + IR Shampoo,2,"99,999.00",0,"99,999.00",0,0,0,0,"99,999.00"
SMOIRS,USA,Smoothing Shampoo + IR Shampoo,3,20,73,20,0,0,0,0,20
